Name,Description,Designator,Footprint,LibRef,Quantity,LCSC

"Capacitors,C126631,1uF","Capacitor","C1, C4, C5","CAP 0603_1608","Capacitors","3","C126631"
"Capacitors,C526980,30pF","Capacitor","C2, C3","CAP 0402_1005","Capacitors","2","C526980"
"KT-0805G","-40?~+85? 100mW 120° 2.6V~3.1V 430mcd 513nm~528nm 525nm 5mA Emerald Green 0805 LED Indication - Discrete ROHS","D1","KT-0805G","CMP-007-00006-5","1","C84256"
"Fuses,500mA,C7472536","Fuse","F1","LFUS-467_V","Fuses","1","C7472536"
"SM10B-SRSS-TB__LF__SN_","Connector","J1","SM10B-SRSS-TB","SM10B-SRSS-TB__LF__SN_","1","C5340780"
"TYPE-C 16PIN 2MD(073)","USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle","J2","USB-C-SMD_TYPE-C-16PIN-2MD-073","TYPE-C_16PIN_2MD_073","1","C165948"
"Resistors,C25104,330","Resistor","R1, R2","RESC0402(1005)_L","Resistors","2","C25104"
"Resistors,C11702,1k","Resistor","R3, R6, R7","RESC0402(1005)_L","Resistors","3","C11702"
"Resistors,C25076,100","Resistor","R4, R5, R13, R14","RESC0402(1005)_L","Resistors","4","C25076"
"Resistors,C25759,16k","Resistor","R8","RESC0402(1005)_L","Resistors","1","C25759"
"Resistors,C25768,22k","Resistor","R9","RESC0402(1005)_L","Resistors","1","C25768"
"Resistors,C25905,5.1k","Resistor","R10, R12","RESC0402(1005)_L","Resistors","2","C25905"
"PTS810","SWITCH TACTILE SPST-NO 0.05A 16V","SW1","FP-PTS810_SJG_250_SMTR_LF-MFG","CMP-10040-000011-1","1","C5363473"
"PTS810 ","SWITCH TACTILE SPST-NO 0.05A 16V","SW2","FP-PTS810_SJG_250_SMTR_LF-MFG","CMP-10040-000011-1","1","C5363473"
"5000","Test Point Miniature THM H .300 Nylon 46 Insulated Red PhosBronze/Silver","TP1","KEYSTONE_5000","CMP-246-000000-1","1",""
"CH32V305FBP6","Integrated Circuit","U1","SOP65P640X110-20N","CH32V305FBP6","1","C5123443"
"SY6280AAC","Integrated Circuit","U2, U3","SOT95P285X140-5N","SY6280AAC","2","C55136"
"TPS7A2033PDBVR","IC REG LINEAR 3.3V 300MA SOT23-5","U4","FP-DBV0005A-IPC_B","TPS7A2033PDBVR","1","C2862740"
"USBLC6-2SC6","Integrated Circuit","U5","SOT95P280X145-6N","USBLC6-2SC6","1","C2827654"
"X322512MSB4SI","Crystal or Oscillator","Y1","X322512MSB4SI","X322512MSB4SI","1","C9002"
